//Isaac Lorenzo Rodriguez Pacheco
//ICOM 4215
// 3 Port Register File
// March 14, 2023

clock      enable      select_decoder       data_writer         RA             PA         RB            PB         RD           PD 
0          1             xxxxx                      x          xxxxx           x         xxxxx            x      xxxxx            x
0          1             xxxxx                     20          xxxxx           x         xxxxx            x      xxxxx            x
1          1             00000                     20          xxxxx           x         xxxxx            x      xxxxx            x
1          1             11111                     51          11111          51         11110           50      11101           49
0          1             11111                     51          11111          51         11110           50      11101           49
1          1             11111                     51          11111          51         11110           50      11101           49
0          1             11111                     51          11111          51         11110           50      11101           49     
1          1             11111                     51          11111          51         11110           50      11101           49
0          1             11111                     51          11111          51         11110           50      11101           49
1          1             11111                     51          11111          51         11110           50      11101           49     
0          1             11111                     51          11111          51         11110           50      11101           49
1          1             11111                     51          11111          51         11110           50      11101           49
0          1             11111                     51          11111          51         11110           50      11101           49
1          1             11111                     51          11111          51         11110           50      11101           49
0          1             11111                     51          11111          51         11110           50      11101           49
1          1             11111                     51          11111          51         11110           50      11101           49
0          1             11111                     51          11111          51         11110           50      11101           49
